SID_MARCHE;ID_MARCHE;DS_MARCHE;SID_CATEGORIE;ID_CATEGORIE;DS_CATEGORIE;SID_FAMILLE;ID_FAMILLE;DS_FAMILLE
233;66;"JARDIN VEGETAL";2533;144;"FLEURIR TERRASSE BALCON JARDIN";11910;6120;"PLANTES POUR BASSIN"
159;62;"ANIMALERIE ALIMENTATION";1845;330;"ALIMENTS CHAT";13251;7558;"CHAT - BOITES MULTI REPAS"
148;53;"AUTO MOTO";1667;76;"PRODUITS MOTOS ET SCOOTERS";7831;4372;"BATTERIE/PCE TECHNIQUE 2 ROUES"
169;219;"PARAPHARMACIE";2645;519;"HYGIENE INTIME";13398;7724;"SOINS INTIMES"
151;92;"OPTIQUE";1682;726;"CONTACTOLOGIE";7919;5868;"PRODUIT LENTILLE OXYDANT"
164;91;"BOISSONS SANS ALCOOL";2103;534;"SOFTS";8786;970;"BOISSONS AUX FRUITS PLATES"
176;128;"PATISSERIE";2416;590;"VENTE ASSISTEE PATISSERIE";11406;4049;"CHOCOLAT VENTE ASSISTEE"
222;48;"CHAUSSON-ACCESSOIRES CHAUSSURE";1490;211;"CHAUSSON FEMME";6871;3923;"CHAUSSON FEMME MULE"
181;184;"POISSONNERIE LS";2479;897;"APERO RECEPTION";9544;372;"TAPAS POISSONNERIE LS"
167;121;"EPICERIE SUCREE DU QUOTIDIEN";2633;477;"PAIN DE MIE LS";13169;7467;"PAINS SANDWICH"
199;33;"BEAUTE PEM";2234;539;"AUTRES SOINS CORPS ET VISAGE";7315;4897;"APPAREIL MANUCURE PEDICURE"
146;218;"MULTIMEDIA";2398;542;"MULTIMEDIA LOGICIEL DEMAT";11323;3884;"BUREAUTIQUE"
232;65;"JARDIN GROS EQUIPEMENT";1628;528;"MOBILIER EQUIPEMENT";7511;4120;"SALONS AUTRES MATIERES"
226;56;"PRESSE";2595;300;"PRESSE MAGAZINE";12547;6767;"AUTO / MOTO"
166;115;"ALCOOLS ET BIERES";1850;302;"WHISKIES";10162;1744;"WHISKIES DU MONDE"
42;113;"BIJOUTERIE MAROQUINERIE";299;470;"BIJOUTERIE OR 9 CARATS";1994;4703;"POIGNET OR 9 CARATS"
237;71;"BEBE PETITE PUERICULTURE";2561;213;"SECURITE BEBE";12054;6266;"SECURITE EXTERIEURE BEBE"
160;63;"ENTRETIEN DE LA MAISON";1813;668;"NETTOYANTS SURFACES";8699;9725;"NETTOYANTS SOLS"
142;79;"MEUBLE";2586;278;"ASSURANCES ET GARANTIES";10735;2413;"EXTENSION GARANTIE TX PLEIN"
202;43;"IMAGE SON NOMADE ACCESSOIRES";1515;751;"PETIT AUDIO";6986;7512;"RADIO ANALOGIQUE"
168;124;"BEBE ALIMENTS ET PUERICULTURE";1821;674;"CHANGE";12074;6286;"CULOTTE PIPI AU LIT"
170;90;"FROMAGE STAND";2519;64;"FE CHEVRE ET BREBIS";13555;7881;"FE BREBIS"
239;74;"EPICERIE SALEE DU QUOTIDIEN";1790;631;"PLATS CUISINES";8625;545;"PLATS INDIV EXO"
158;61;"EPICERIE SALEE FAIT MAISON";1796;654;"PRODUITS DU MONDE";9938;1011;"TROPIQUES FAIT MAISON"
236;69;"RANGEMENT";1753;402;"TOURS BOITES BACS CORBEILLES";12716;7001;"RANGEMENT ROLLER"
206;16;"PHOTO TRAVAUX";2334;60;"DECO CADEAUX";11109;3623;"OBJETS ET CADEAUX"
183;188;"FRUITS ET LEGUMES FRAIS";2172;95;"LEGUMES RATATOUILLE";10272;1946;"POIVRON"
196;32;"FEMME DESSOUS";1451;263;"NUIT";6717;1482;"ROBE DE CHAMBRE"
157;113;"BIJOUTERIE";1785;472;"SERVICES";8555;4928;"SERVICES PRESTATION BIJOUTERIE"
